Search terms report
"April 26, 2026 - May 2, 2026"
Search term,Match type,Added/Excluded,Campaign,Ad group,Keyword,Clicks,Currency code,Cost,Impr.,CTR,Avg. CPC,Conv. rate,Conversions,Cost / conv.
emdr therapist near me,Exact match (close variant),None,ARC - Search - Services,Therapy - EMDR,"""emdr therapy near me""",1,CAD,7.87,2,50.00%,7.87,0.00%,0.00,0.00
rtms painless medicine,Phrase match (close variant),None,ARC - Search - Services,Therapy - Chronic Pain,"""chronic pain therapy""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
emdr somatic therapy near me,Exact match (close variant),None,ARC - Search - Services,Therapy - EMDR,"""emdr therapy near me""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
attachment and trauma treatment centre for healing,Phrase match (close variant),None,ARC - Search - Services,Therapy - Trauma & PTSD,"""Trauma Healing Therapy""",0,CAD,0.00,2,0.00%,0,0.00%,0.00,0.00
ptsd therapy near me,Exact match (close variant),None,ARC - Search - Services,Therapy - Trauma & PTSD,"""PTSD Therapist""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
anxiety groups toronto,Phrase match (close variant),None,ARC - Search - Services,Therapy - Chronic Illness,"""illness support therapy""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
gut health improvement,Exact match (close variant),None,ARC - Search - Services,Therapy - IBS & Gut Health,"""Gut Health Therapy""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
scarborough osteopath,Phrase match (close variant),None,ARC - Search - Services,Therapy - Chronic Pain,"""Pain Management Therapy""",0,CAD,0.00,2,0.00%,0,0.00%,0.00,0.00
emdr,Exact match (close variant),None,ARC - Search - Services,Therapy - EMDR,"""Trauma Eye movement""",0,CAD,0.00,2,0.00%,0,0.00%,0.00,0.00
magnetic therapy for pain,Phrase match (close variant),None,ARC - Search - Services,Therapy - Chronic Pain,"""Pain Management Therapy""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
emdr childhood trauma,Phrase match (close variant),None,ARC - Search - Services,Therapy - EMDR,"""eye movement therapy for trauma""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
meditation for ibs diarrhea,Phrase match (close variant),None,ARC - Search - Services,Therapy - IBS & Gut Health,"""ibs natural treatment""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
silver pain clinic north york,Phrase match (close variant),None,ARC - Search - Services,Therapy - Chronic Pain,"""chronic pain therapy""",0,CAD,0.00,5,0.00%,0,0.00%,0.00,0.00
can hypnosis help with chronic pain,Phrase match (close variant),None,ARC - Search - Services,Therapy - Chronic Pain,"""mind body techniques for pain relief""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
wilderman clinic toronto,Phrase match (close variant),None,ARC - Search - Services,Therapy - Chronic Pain,"""chronic pain therapy""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
pain clinic ajax,Phrase match (close variant),None,ARC - Search - Services,Therapy - Chronic Pain,"""Pain Management Therapy""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
treatment of ibs in adults,Exact match (close variant),None,ARC - Search - Services,Therapy - IBS & Gut Health,"""treatment for ibs""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
ibs dietitian toronto,Phrase match (close variant),None,ARC - Search - Services,Therapy - IBS & Gut Health,"""digestive issues counselling toronto""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
chronic pain psychologist near me,Phrase match (close variant),None,ARC - Search - Services,Therapy - Chronic Pain,"""pain management counseling""",2,CAD,3.70,2,100.00%,1.85,0.00%,0.00,0.00
therapist for trauma bonds,Phrase match,None,ARC - Search - Services,Therapy - Trauma & PTSD,"""Therapy For Trauma""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
dry needling for nerve pain,Phrase match (close variant),None,ARC - Search - Services,Therapy - Chronic Pain,"""chronic pain therapy""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
ibs near me,Phrase match (close variant),None,ARC - Search - Services,Therapy - IBS & Gut Health,"""treatment for ibs""",0,CAD,0.00,3,0.00%,0,0.00%,0.00,0.00
does cbd help chronic pain,Phrase match (close variant),None,ARC - Search - Services,Therapy - Chronic Pain,"""chronic pain therapy""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
emdr therapy for kids,Phrase match,None,ARC - Search - Services,Therapy - DBR,"""EMDR Therapy""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
edmr,Exact match (close variant),None,ARC - Search - Services,Therapy - EMDR,"""EMDR Therapy for Trauma""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
emdr for attachment issues,Phrase match (close variant),None,ARC - Search - Services,Therapy - EMDR,"""EMDR Therapist""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
scarborough psychotherapy services,Phrase match (close variant),None,ARC - Search - Services,Therapy - Chronic Illness,"""illness support therapy""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
inner child therapy,Phrase match (close variant),None,ARC - Search - Services,Therapy - Trauma & PTSD,"""trauma-informed therapy""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
what type of doctor treats ibs,Phrase match (close variant),None,ARC - Search - Services,Therapy - IBS & Gut Health,"""treatment for ibs""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
trauma ptsd therapist near me,Exact match (close variant),None,ARC - Search - Services,Therapy - Trauma & PTSD,"""PTSD counselling near me""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
mindfulness for pain relief,Exact match (close variant),None,ARC - Search - Services,Therapy - Chronic Pain,"""mind body techniques for Pain relief""",0,CAD,0.00,2,0.00%,0,0.00%,0.00,0.00
chronic nerve pain treatment,Phrase match (close variant),None,ARC - Search - Services,Therapy - Chronic Pain,"""best chronic pain treatment""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
hf care asian mental health and well being north york,Phrase match (close variant),None,ARC - Search - Services,Therapy - Chronic Illness,"""illness support therapy""",1,CAD,4.44,1,100.00%,4.44,0.00%,0.00,0.00
how do i get emdr therapy,Phrase match (close variant),None,ARC - Search - Services,Therapy - Trauma & PTSD,"""PTSD Psychotherapy""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
emdr online,Phrase match (close variant),None,ARC - Search - Services,Therapy - EMDR,"""EMDR Therapy Online""",1,CAD,3.72,2,50.00%,3.72,0.00%,0.00,0.00
ibs homeopathy treatment,Phrase match (close variant),None,ARC - Search - Services,Therapy - IBS & Gut Health,"""treatment for ibs""",1,CAD,4.00,6,16.67%,4.00,0.00%,0.00,0.00
pain clinic brampton queen street,Phrase match (close variant),None,ARC - Search - Services,Therapy - Chronic Pain,"""Pain Management Therapy""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
8 phases of emdr,Phrase match (close variant),None,ARC - Search - Services,Therapy - EMDR,"""eye movement therapy for trauma""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
narcissistic abuse counselling,Phrase match (close variant),None,ARC - Search - Services,Therapy - Trauma & PTSD,"""trauma-informed therapy""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
somatic therapy toronto,Phrase match (close variant),None,ARC - Regional - Search,Therapy - Trauma & PTSD,"""Trauma Therapy Toronto""",0,CAD,0.00,9,0.00%,0,0.00%,0.00,0.00
chronic illness therapist near me,Phrase match (close variant),None,ARC - Search - Services,Therapy - Chronic Illness,"""coping with long-term illness""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
nerve ablation lower back,Phrase match (close variant),None,ARC - Search - Services,Therapy - Chronic Pain,"""chronic back pain treatment""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
spinal decompression therapy,Phrase match (close variant),None,ARC - Search - Services,Therapy - Chronic Pain,"""Pain Management Therapy""",0,CAD,0.00,2,0.00%,0,0.00%,0.00,0.00
somatic practitioner,Phrase match (close variant),None,ARC - Search - Services,Therapy - Trauma & PTSD,"""trauma-informed therapy""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
therapist cptsd,Phrase match (close variant),None,ARC - Search - Services,Therapy - Trauma & PTSD,"""trauma-informed therapy""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
trauma therapy near me,Exact match (close variant),None,ARC - Search - Services,Therapy - Trauma & PTSD,"""Trauma Counseling""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
emdr therapy covered by insurance,Phrase match,None,ARC - Search - Services,Therapy - EMDR,"""emdr therapy""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
tapmi pain clinic toronto,Phrase match (close variant),None,ARC - Search - Services,Therapy - Chronic Pain,"""chronic pain therapy""",0,CAD,0.00,2,0.00%,0,0.00%,0.00,0.00
pain clinic oakville,Phrase match (close variant),None,ARC - Search - Services,Therapy - Chronic Pain,"""Pain Management Therapy""",0,CAD,0.00,2,0.00%,0,0.00%,0.00,0.00
chronic pain clinic near me,Exact match (close variant),None,ARC - Search - Services,Therapy - Chronic Pain,"""Chronic Pain Therapy near me""",0,CAD,0.00,2,0.00%,0,0.00%,0.00,0.00
emdr therapy north york,Phrase match,None,ARC - Search - Services,Therapy - EMDR,"""emdr therapy""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
best pain clinic near me,Phrase match (close variant),None,ARC - Search - Services,Therapy - Chronic Pain,"""Pain Management Therapy""",0,CAD,0.00,2,0.00%,0,0.00%,0.00,0.00
what to take for chronic pain,Phrase match (close variant),None,ARC - Search - Services,Therapy - Chronic Pain,"""best chronic pain treatment""",0,CAD,0.00,2,0.00%,0,0.00%,0.00,0.00
pantea rafati,Phrase match (close variant),None,ARC - Search - Services,Therapy - EMDR,"""emdr therapy""",0,CAD,0.00,2,0.00%,0,0.00%,0.00,0.00
fibromyalgia pain centers,Phrase match (close variant),None,ARC - Search - Services,Therapy - Chronic Pain,"""chronic pain therapy""",0,CAD,0.00,2,0.00%,0,0.00%,0.00,0.00
eye movement desensitization and reprocessing emdr therapy,Phrase match (close variant),None,ARC - Search - Services,Therapy - Trauma & PTSD,"""PTSD Treatment""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
neurotherapy treatment for back pain,Phrase match (close variant),None,ARC - Search - Services,Therapy - Chronic Pain,"""Pain Management Therapy""",0,CAD,0.00,2,0.00%,0,0.00%,0.00,0.00
cortisone injections near me,Phrase match (close variant),None,ARC - Search - Services,Therapy - Chronic Pain,"""Pain Management Therapy""",0,CAD,0.00,2,0.00%,0,0.00%,0.00,0.00
emdr near me,Exact match (close variant),None,ARC - Search - Services,Therapy - EMDR,"""emdr therapy near me""",1,CAD,19.78,2,50.00%,19.78,0.00%,0.00,0.00
bounce back ontario,Phrase match (close variant),None,ARC - Search - Services,Therapy - Trauma & PTSD,"""trauma support ontario""",0,CAD,0.00,2,0.00%,0,0.00%,0.00,0.00
best pain killer for chronic pain,Phrase match (close variant),None,ARC - Search - Services,Therapy - Chronic Pain,"""best chronic pain treatment""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
therapy for police officers,Phrase match (close variant),None,ARC - Search - Services,Therapy - First Responder,"""therapy for first responders""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
heal ibs naturally,Exact match (close variant),None,ARC - Search - Services,Therapy - IBS & Gut Health,"""IBS natural treatment""",0,CAD,0.00,2,0.00%,0,0.00%,0.00,0.00
the insight clinic whitby,Phrase match (close variant),None,ARC - Search - Services,Therapy - Chronic Illness,"""illness support therapy""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
pain clinic,Phrase match (close variant),None,ARC - Search - Services,Therapy - Chronic Pain,"""Pain Management Therapy""",1,CAD,1.92,6,16.67%,1.92,0.00%,0.00,0.00
emdr therapy whitby,Phrase match,None,ARC - Search - Services,Therapy - EMDR,"""emdr therapy""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
gut health toronto,Exact match (close variant),None,ARC - Search - Services,Therapy - IBS & Gut Health,"""gut health therapy in toronto""",0,CAD,0.00,6,0.00%,0,0.00%,0.00,0.00
emdr online therapy,Phrase match,None,ARC - Search - Services,Therapy - EMDR,"""emdr therapy""",0,CAD,0.00,2,0.00%,0,0.00%,0.00,0.00
the mind people oakville,Phrase match (close variant),None,ARC - Search - Services,Therapy - Chronic Illness,"""illness support therapy""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
hmf ibs relief,Phrase match (close variant),None,ARC - Search - Services,Therapy - IBS & Gut Health,"""treatment for ibs""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
mental health services for seniors,Phrase match (close variant),None,ARC - Search - Services,Therapy - Chronic Illness,"""illness support therapy""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
central sensitization treatment,Phrase match (close variant),None,ARC - Search - Services,Therapy - Chronic Pain,"""chronic pain therapy""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
ibs specialist toronto,Phrase match (close variant),None,ARC - Search - Services,Therapy - IBS & Gut Health,"""treatment for ibs""",0,CAD,0.00,2,0.00%,0,0.00%,0.00,0.00
emdr for adhd,Phrase match (close variant),None,ARC - Search - Services,Therapy - EMDR,"""EMDR Therapist""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
shivon raghunandan,Phrase match (close variant),None,ARC - Search - Services,Therapy - Trauma & PTSD,"""trauma counselling toronto""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
chronic pain clinic near me,Phrase match (close variant),None,ARC - Search - Services,Therapy - Chronic Pain,"""Therapy For Chronic Pain""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
gut health nutritionist near me,Phrase match (close variant),None,ARC - Search - Services,Therapy - IBS & Gut Health,"""gut health counseling""",0,CAD,0.00,5,0.00%,0,0.00%,0.00,0.00
can emdr be done virtually,Phrase match (close variant),None,ARC - Search - Services,Therapy - EMDR,"""eye movement therapy for trauma""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
pain solutions pickering,Phrase match (close variant),None,ARC - Search - Services,Therapy - Chronic Pain,"""Pain Management Therapy""",1,CAD,5.73,1,100.00%,5.73,0.00%,0.00,0.00
pain injection clinic near me,Phrase match (close variant),None,ARC - Search - Services,Therapy - Chronic Pain,"""Pain Management Therapy""",0,CAD,0.00,2,0.00%,0,0.00%,0.00,0.00
irritable bowel syndrome treatment canada,Phrase match (close variant),None,ARC - Search - Services,Therapy - IBS & Gut Health,"""treatment for ibs""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
how do you get rid of ibs,Exact match (close variant),None,ARC - Search - Services,Therapy - IBS & Gut Health,"""Irritable Bowel Syndrome Therapy""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
is emdr,Exact match (close variant),None,ARC - Search - Services,Therapy - EMDR,"""eye movement therapy for trauma""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
yoga for ibs and anxiety,Phrase match (close variant),None,ARC - Search - Services,Therapy - IBS & Gut Health,"""ibs natural treatment""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
kijimea ibs pro,Phrase match (close variant),None,ARC - Search - Services,Therapy - IBS & Gut Health,"""ibs natural treatment""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
chronic back pain help,Exact match (close variant),None,ARC - Search - Services,Therapy - Chronic Pain,"""Chronic back Pain treatment""",0,CAD,0.00,2,0.00%,0,0.00%,0.00,0.00
trauma resolution centre,Phrase match (close variant),None,ARC - Search - Services,Therapy - Trauma & PTSD,"""trauma-informed therapy""",0,CAD,0.00,4,0.00%,0,0.00%,0.00,0.00
emdr and cptsd,Phrase match (close variant),None,ARC - Search - Services,Therapy - EMDR,"""eye movement therapy for trauma""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
ibs hypnosis,Exact match (close variant),None,ARC - Search - Services,Therapy - IBS & Gut Health,"""hypnosis for ibs""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
ibs and homeopathy,Phrase match (close variant),None,ARC - Search - Services,Therapy - IBS & Gut Health,"""ibs natural treatment""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
dr rozen pain clinic,Phrase match (close variant),None,ARC - Search - Services,Therapy - Chronic Pain,"""Pain Management Therapy""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
tapping therapy for trauma,Phrase match (close variant),None,ARC - Search - Services,Therapy - Trauma & PTSD,"""trauma-informed therapy""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
ibs toronto,Phrase match (close variant),None,ARC - Search - Services,Therapy - IBS & Gut Health,"""treatment for ibs""",0,CAD,0.00,2,0.00%,0,0.00%,0.00,0.00
fibromyalgia therapy near me,Phrase match (close variant),None,ARC - Search - Services,Therapy - Chronic Pain,"""chronic pain therapy near me""",0,CAD,0.00,5,0.00%,0,0.00%,0.00,0.00
www bloorpain com procedures,Phrase match (close variant),None,ARC - Search - Services,Therapy - Chronic Pain,"""chronic pain therapy""",0,CAD,0.00,7,0.00%,0,0.00%,0.00,0.00
intensive mental health program,Phrase match (close variant),None,ARC - Search - Services,Therapy - Chronic Illness,"""illness support therapy""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
hypnotherapy ibs,Exact match (close variant),None,ARC - Search - Services,Therapy - IBS & Gut Health,"""hypnosis for ibs""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
pain processing therapy,Exact match (close variant),None,ARC - Search - Services,Therapy - Chronic Pain,"""pain reprocessing therapy""",0,CAD,0.00,2,0.00%,0,0.00%,0.00,0.00
ibs help,Exact match (close variant),None,ARC - Search - Services,Therapy - IBS & Gut Health,"""treatment for ibs""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
emdr therapist toronto,Phrase match,None,ARC - Search - Services,Therapy - EMDR,"""emdr therapy""",0,CAD,0.00,2,0.00%,0,0.00%,0.00,0.00
power over pain ca,Phrase match (close variant),None,ARC - Search - Services,Therapy - Chronic Pain,"""Chronic Pain Support""",0,CAD,0.00,2,0.00%,0,0.00%,0.00,0.00
how do you heal childhood trauma,Exact match (close variant),None,ARC - Search - Services,Therapy - Trauma & PTSD,"""therapy for childhood trauma""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
how do i get emdr therapy,Phrase match (close variant),None,ARC - Search - Services,Therapy - EMDR,"""EMDR Therapy for Trauma""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
psychologist ptsd,Phrase match (close variant),None,ARC - Search - Services,Therapy - Trauma & PTSD,"""trauma-informed therapy""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
fibre for ibs,Phrase match (close variant),None,ARC - Search - Services,Therapy - IBS & Gut Health,"""treatment for ibs""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
inpatient trauma treatment centers near me,Phrase match (close variant),None,ARC - Search - Services,Therapy - Trauma & PTSD,"""Therapy For Trauma""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
emdr therapy toronto,Phrase match (close variant),None,ARC - Search - Services,Therapy - EMDR,"""emdr and trauma therapy centre""",0,CAD,0.00,2,0.00%,0,0.00%,0.00,0.00
psychotherapy today emdr,Phrase match (close variant),None,ARC - Search - Services,Therapy - EMDR,"""emdr therapy""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
emdr therapy toronto,Exact match (close variant),None,ARC - Search - Services,Therapy - EMDR,"""emdr treatment for ptsd toronto""",0,CAD,0.00,2,0.00%,0,0.00%,0.00,0.00
somatic therapy near me,Phrase match (close variant),None,ARC - Search - Services,Therapy - Trauma & PTSD,"""trauma-informed therapy""",0,CAD,0.00,4,0.00%,0,0.00%,0.00,0.00
somatic healing near me,Phrase match (close variant),None,ARC - Search - Services,Therapy - Trauma & PTSD,"""trauma-informed therapy""",0,CAD,0.00,3,0.00%,0,0.00%,0.00,0.00
childhood trauma therapist toronto,Phrase match (close variant),None,ARC - Search - Services,Therapy - Trauma & PTSD,"""trauma-informed therapy""",1,CAD,11.28,1,100.00%,11.28,0.00%,0.00,0.00
brainspotting therapy,Phrase match (close variant),None,ARC - Search - Services,Therapy - Trauma & PTSD,"""trauma-informed therapy""",0,CAD,0.00,4,0.00%,0,0.00%,0.00,0.00
pain specialist toronto,Phrase match (close variant),None,ARC - Search - Services,Therapy - Chronic Pain,"""Pain Management Therapy""",1,CAD,3.58,2,50.00%,3.58,0.00%,0.00,0.00
treatments for ibs,Exact match (close variant),None,ARC - Search - Services,Therapy - IBS & Gut Health,"""treatment for ibs""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
trauma informed emdr therapist,Exact match (close variant),None,ARC - Search - Services,Therapy - EMDR,"""EMDR Trauma Therapy""",0,CAD,0.00,2,0.00%,0,0.00%,0.00,0.00
fibromyalgia psychotherapy,Phrase match (close variant),None,ARC - Search - Services,Therapy - Chronic Pain,"""chronic pain therapy""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
treatment for ibs in men,Phrase match,None,ARC - Search - Services,Therapy - IBS & Gut Health,"""treatment for ibs""",0,CAD,0.00,2,0.00%,0,0.00%,0.00,0.00
treatment for sciatica,Phrase match (close variant),None,ARC - Search - Services,Therapy - Chronic Pain,"""Pain Management Therapy""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
mindful therapy,Phrase match (close variant),None,ARC - Search - Services,Therapy - Chronic Illness,"""illness support therapy""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
trauma informed doctors near me,Phrase match (close variant),None,ARC - Search - Services,Therapy - Trauma & PTSD,"""Trauma-informed Therapy""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
jacobs pain clinic markham,Phrase match (close variant),None,ARC - Search - Services,Therapy - Chronic Pain,"""chronic pain therapy""",1,CAD,3.01,2,50.00%,3.01,0.00%,0.00,0.00
ibs treatment women,Phrase match (close variant),None,ARC - Search - Services,Therapy - IBS & Gut Health,"""Irritable Bowel Syndrome Therapy""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
tension myositis syndrome doctors near me,Phrase match (close variant),None,ARC - Search - Services,Therapy - Chronic Pain,"""chronic pain therapy near me""",0,CAD,0.00,2,0.00%,0,0.00%,0.00,0.00
tidhi toronto,Phrase match (close variant),None,ARC - Search - Services,Therapy - IBS & Gut Health,"""gut health therapy in toronto""",0,CAD,0.00,3,0.00%,0,0.00%,0.00,0.00
intensive emdr therapy,Phrase match,None,ARC - Search - Services,Therapy - EMDR,"""emdr therapy""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
women's trauma recovery centre,Phrase match (close variant),None,ARC - Search - Services,Therapy - Trauma & PTSD,"""trauma-informed therapy""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
chronic pain near me,Exact match (close variant),None,ARC - Search - Services,Therapy - Chronic Pain,"""Chronic Pain Therapy near me""",0,CAD,0.00,2,0.00%,0,0.00%,0.00,0.00
what is the best painkiller for fibromyalgia,Phrase match (close variant),None,ARC - Search - Services,Therapy - Chronic Pain,"""best chronic pain treatment""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
peel region mental health services,Phrase match (close variant),None,ARC - Search - Services,Therapy - Chronic Illness,"""illness support therapy""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
trauma informed psychotherapist,Exact match (close variant),None,ARC - Search - Services,Therapy - Trauma & PTSD,"""trauma-informed therapy""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
foods for ibs flare up,Phrase match (close variant),None,ARC - Search - Services,Therapy - IBS & Gut Health,"""treatment for ibs""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
emdr therapist toronto,Exact match (close variant),None,ARC - Search - Services,Therapy - EMDR,"""emdr treatment for ptsd toronto""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
ensure and ibs,Phrase match (close variant),None,ARC - Search - Services,Therapy - IBS & Gut Health,"""treatment for ibs""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
trauma sensitive therapy,Exact match (close variant),None,ARC - Search - Services,Therapy - Trauma & PTSD,"""Emotional Trauma Therapy""",0,CAD,0.00,2,0.00%,0,0.00%,0.00,0.00
ibs clinic near me,Phrase match (close variant),None,ARC - Search - Services,Therapy - IBS & Gut Health,"""IBS Therapy""",0,CAD,0.00,5,0.00%,0,0.00%,0.00,0.00
pain clinic pickering,Phrase match (close variant),None,ARC - Search - Services,Therapy - Chronic Pain,"""Pain Management Therapy""",0,CAD,0.00,2,0.00%,0,0.00%,0.00,0.00
somatic therapy,Phrase match (close variant),None,ARC - Search - Services,Therapy - Trauma & PTSD,"""Trauma Focused Therapy""",0,CAD,0.00,2,0.00%,0,0.00%,0.00,0.00
ibs specialist,Phrase match (close variant),None,ARC - Search - Services,Therapy - IBS & Gut Health,"""treatment for ibs""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
york medical pain clinic newmarket,Phrase match (close variant),None,ARC - Search - Services,Therapy - Chronic Pain,"""chronic pain therapy""",0,CAD,0.00,3,0.00%,0,0.00%,0.00,0.00
somatic therapy toronto,Phrase match (close variant),None,ARC - Search - Services,Therapy - Trauma & PTSD,"""Emotional Trauma Therapy""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
north york pain clinic,Phrase match (close variant),None,ARC - Search - Services,Therapy - Chronic Pain,"""Pain Management Therapy""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
rtms ontario,Phrase match (close variant),None,ARC - Search - Services,Therapy - Chronic Illness,"""illness support therapy""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
managing ibs flare up,Phrase match (close variant),None,ARC - Search - Services,Therapy - IBS & Gut Health,"""treatment for ibs""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
does emdr work,Phrase match (close variant),None,ARC - Search - Services,Therapy - EMDR,"""eye movement therapy for trauma""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
cpm brampton,Phrase match (close variant),None,ARC - Search - Services,Therapy - Chronic Pain,"""chronic pain therapy""",0,CAD,0.00,2,0.00%,0,0.00%,0.00,0.00
fibromyalgia counselling,Phrase match (close variant),None,ARC - Search - Services,Therapy - Chronic Illness,"""illness support therapy""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
attachment and trauma treatment centre for healing,Phrase match (close variant),None,ARC - Search - Services,Therapy - Trauma & PTSD,"""Trauma Counseling""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
dmt therapy ontario,Phrase match (close variant),None,ARC - Search - Services,Therapy - Chronic Illness,"""illness support therapy""",0,CAD,0.00,3,0.00%,0,0.00%,0.00,0.00
what helps ibs go away fast,Phrase match (close variant),None,ARC - Search - Services,Therapy - IBS & Gut Health,"""treatment for ibs""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
ibs treatment at home,Exact match (close variant),None,ARC - Search - Services,Therapy - IBS & Gut Health,"""IBS natural treatment""",0,CAD,0.00,2,0.00%,0,0.00%,0.00,0.00
trauma therapy ontario,Exact match (close variant),None,ARC - Search - Services,Therapy - Trauma & PTSD,"""PTSD Therapy Ontario""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
ocd therapy,Phrase match (close variant),None,ARC - Search - Services,Therapy - Chronic Illness,"""illness support therapy""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
bella lindemann functional nutritionist,Phrase match (close variant),None,ARC - Search - Services,Therapy - IBS & Gut Health,"""gut health counseling""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
